SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Spot	SpecimenID.MEB	SpecimenID.ADN	Tribe	Tip.Label	New.TipLabel	Genus	species	mimicry.ring
21272	21272_HYPOLYDI_FW_V_v4_1811346U1	1811346U1	HYPOLYDI	FW	V	s4	21272		Ithomiini	Hypomenitis_lydia	Hypomenitis_lydia	Hypomenitis	lydia	hewitsoni
21272	21272_HYPOLYDI_FW_V_v5_1811346U1	1811346U1	HYPOLYDI	FW	V	s5	21272		Ithomiini	Hypomenitis_lydia	Hypomenitis_lydia	Hypomenitis	lydia	hewitsoni
21273	21273_HYPOORTY_FW_V_v1_1811346U1	1811346U1	HYPOORTY	FW	V	s1	ME17-58		Ithomiini	Hypomenitis_ortygia_ortygia	Hypomenitis_ortygia_ortygia	Hypomenitis	ortygia	panthyale
21273	21273_HYPOORTY_FW_V_v2_1811346U1	1811346U1	HYPOORTY	FW	V	s2	ME17-58		Ithomiini	Hypomenitis_ortygia_ortygia	Hypomenitis_ortygia_ortygia	Hypomenitis	ortygia	panthyale
21273	21273_HYPOORTY_FW_V_v3_1811346U1	1811346U1	HYPOORTY	FW	V	s3	ME17-58		Ithomiini	Hypomenitis_ortygia_ortygia	Hypomenitis_ortygia_ortygia	Hypomenitis	ortygia	panthyale
21273	21273_HYPOORTY_FW_V_v4_1811346U1	1811346U1	HYPOORTY	FW	V	s4	ME17-58		Ithomiini	Hypomenitis_ortygia_ortygia	Hypomenitis_ortygia_ortygia	Hypomenitis	ortygia	panthyale
21273	21273_HYPOORTY_FW_V_v5_1811346U1	1811346U1	HYPOORTY	FW	V	s5	ME17-58		Ithomiini	Hypomenitis_ortygia_ortygia	Hypomenitis_ortygia_ortygia	Hypomenitis	ortygia	panthyale
21292	21292_HYPOENIG_FW_V_v1_1811346U1	1811346U1	HYPOENIG	FW	V	s1	21270		Ithomiini	Hypomenitis_enigma	Hypomenitis_enigma	Hypomenitis	enigma	panthyale
21292	21292_HYPOENIG_FW_V_v2_1811346U1	1811346U1	HYPOENIG	FW	V	s2	21270		Ithomiini	Hypomenitis_enigma	Hypomenitis_enigma	Hypomenitis	enigma	panthyale
21292	21292_HYPOENIG_FW_V_v3_1811346U1	1811346U1	HYPOENIG	FW	V	s3	21270		Ithomiini	Hypomenitis_enigma	Hypomenitis_enigma	Hypomenitis	enigma	panthyale
